Name,Summary,Tagged Interests
Animal Science Graduate Research Collaborative,"The Animal Science Graduate Research Collaborative (ASGRC) is dedicated to fostering a collaborative and inclusive community of graduate students in animal science, advancing interdisciplinary relationships, and promoting outreach to undergraduates inter","Science, Community"
Animation Club at Penn State,"Our mission is to promote the art of contemporary animation and an appreciation of animation's rich history, to encourage young animators, film-makers, artists and also, to cultivate the interest in and promote the arts and animation. ","Film, General Student Organizations, Art, Special Interest"
Anime Organization,"The Penn State Anime Organization (PSAO) will sponsor events promoting the understanding and enjoyment of the Japanese art forms of  anime (Japanese Animation), manga (Japanese comics), and anime associated video games.","Anime & Comics, Gaming, Asian Student Life, Art"
Anthropology Graduate Student Association,"AGSA raises money for graduate students to travel to professional meetings and serves as an information center for concerns related to anthropology graduate student life, such as curriculum and funding.",Travel
Apollo,"Apollo is an organization where the forefront of our efforts/events are all for the benefit of THON. Originating in 2011, Apollo has raised more than One Million Dollars for the four-diamond fund, and we show no signs of slowing down. ",General Student Organizations
Apple iOS Developers,"The Penn State AIDUP is a club for students interested in iOS app development. Our members learn new skills, work on real-world projects, and connect with industry professionals. We provide a supportive community for members to grow and excel.","General Student Organizations, Leadership, Community, Special Interest"
Arabian Youth Society,"At the Arabian Youth, we believe in inspiring, engaging, and uplifting young individuals to become compassionate leaders who make a lasting difference in the world around them. ",Middle Eastern Student Life
Archery Club,Enables the members of the University community to enjoy and promote the sport of archery.,"General Student Organizations, Community"
Architectural Engineering Graduate Student Association,The purpose of this Chapter is to serve the interests of the graduate students of the Architectural Engineering department at the Penn State University and act as a conduit between the students and the decision makers with...,"Special Interest, Engineering, Art"
Arieh Jewish Women's Club,Arieh Jewish Women's Club is an organization designed to give Jewish women on campus a place to connect to their culture while also growing as an individual. Arieh is a space that promotes self-expression and community. ,"Journalism, Community, Fashion, Water Sports, Jewish Organizations, Women’s Empowerment, General Student Organizations"
Army Rotc,The purpose of the Penn State Army Reserve Officer Training Corps is to teach students the leadership and management skills needed to become a U.S. Army Officer or have a successful civilian career.,"Leadership, Engineering"
Arnold Ebbitt Interdisciplinary Rhetoricians,We are a group of rhetoricians promoting interdisciplinary scholarly conversations. We provide resources and assistance with professional development and teaching while organizing professional and co-curricular events for graduate students.,"Leadership, Service, Public Speaking"
Art Club at Penn State,"Our goal is to create a diverse community of artists, open to all different skills and styles. If you love art, wish to find and meet fellow artists, or would like to learn about art, join the club.

Our discord link:https://discord.gg/QW4BaBMUh","Fashion, General Student Organizations, Community, Art"
Art History Club,"The Art History Club will aim to bring together individuals of similar interests to view, study, make, and discuss history, art, and society as a whole. ","General Student Organizations, Art, Special Interest"
Arts and Architecture House,Promotes a favorable academic and social atmosphere for students interested in any Arts and Architecture field.,"Special Interest, Social Club, Art"
Arts and Architecture Student Council,The Arts and Architecture Student Council promotes artistic and creative pursuits of students within the College of Arts and Architecture and aims to improve academic and civic life through organized debate and equal representation from all disciplines.,"Public Speaking, Art"
Asian American Christian Fellowship,Established for the express purpose of providing opportunities for Asian students at the University to grow in their relationship with Jesus Christ.,"Journalism, Asian Student Life, Christian Organizations"
Asian Classical Music Club,"The purpose of the Penn State Asian Classical Music Club (ACMC) is to provide a platform for Asian traditional folk instruments players and promote communication between eastern and western culture, especially music culture.","Music, General Student Organizations, Heritage, Asian Student Life"
Asian Pacific Islander Desi American Caucus,The Asian Pacific Islander Desi American Caucus advocates on behalf of the collective Asian community at Penn State. We celebrate and promote diversity and inclusion of all individuals in the Penn State Community.,"Diversity, Community, Asian Student Life"
Asian Student Fitness Club,The Asian Student Fitness Club (ASFC) is dedicated to creating a vibrant and supportive community for students passionate about fitness and bodybuilding.,"General Student Organizations, Asian Student Life, Community, Fitness"
Asian Undergraduate Student Association,The Asian Undergraduate Students Association aims to give back to the Asian community at the Pennsylvania state university by creating opportunities to achieve a higher sense of cultural and social awareness. We will serve...,"Social Club, Community, Heritage, Asian Student Life"
Asian Volleyball Club at Penn State,"AVC at Penn State is a Social Asian volleyball club held every Friday. Founded in 2019, we strive to build strong chemistry and teamwork through organized volleyball practices. Starting from 10 members back in 2019, we grew up to 40 members in the club.","Asian Student Life, Art, Social Club, Science, General Student Organizations"
Asian/American Women's Association,"This organization provides an inclusive community and respectful discussion for Asian/American women in an effort to promote our identity, especially in relation to the current social, cultural, and political landscape.","Community, Asian Student Life, Social Club, Heritage, Women’s Empowerment"
Assembly of God Chi Alpha,"Promotes the spiritual and social life of young people at the University by providing opportunities for worship, fellowship, training, and evangelism.","Social Club, Religious"
Asset Management Group,"The purpose of the Asset Management Group is to create zero-barrier opportunities for students passionate about finance and economics to learn about the effects of various types of securities on a portfolio, while also getting networking/career advice.","Leadership, Finance, Social Club"
Assistance in Transition at University Park,"Assistance in Transition to University Park (AT UP)'s mission is: ""(t)o provide a flawless transition that supports the academic, professional, and social development for our fellow change of campus business students."" ","Leadership, Service, Law & Pre-Law, Social Club, Business"
Assistive Technology Club,"Our mission is to create innovative products that enhance the interaction of individuals with disabilities with the world around them, empowering them to lead more independent and fulfilling lives.","Technology, General Student Organizations"
Association for Computing Machinery,"Promotes an increased knowledge of the science, design, development, construction, languages, and applications of modern computing machinery. Our goal is to foster a community of students interested in computer science and software engineering.","Leadership, Community, Fashion, Technology, Special Interest, Engineering, Science"
Association for India's Development,"Initiates and supports projects addressing the issues of literacy, health care, family planning, women's empowerment, micro-credit, rural development, and the environment in India. ","Women’s Empowerment, Leadership, Sustainability"
Association For Transgender Experience in Research,"AFTER is focused on increasing transgender participation in studies at Penn State! We seek out research opportunities to get involved with as participants, and meet biweekly to discuss all sorts of things.",Art
Association for Women Geoscientists,We are the Penn State Student Chapter of Association for Women Geoscientists (AWG). AWG is a student-led organization that seeks to enhance the community and participation of all people interested in Geoscience at Penn State!,"Community, Art, Special Interest, Women’s Empowerment, Science"
Association for Women in Sports Media,"The purpose of AWSM Penn State, a student chapter of the Association for Women in Sports Media, is to advocate for and support women who work in or aspire to work in sports media organizations, including print, internet, broadcast, and public relations.","Women’s Empowerment, Public Relations"
Association of Energy Engineers,"As a professional society for energy engineers, and those interested in energy, we set our members up for success in their future careers. Hearing from industry speakers and hands-on experiences, you build your network and technical experience.",Special Interest
Association of Latino Professionals for America,Connecting Latino Leaders for Impact,Latino
Association of Residence Hall Students,University Park's on-campus student government. Encourages the betterment of community on-campus; realizes and strives for the improvement of the quality of life through events and outreach for any students who are at University Park.,Community
Association of Water Students at Penn State,The Penn State Association of Water Students (PAWS) is intended for students from across different plans of study and departments who are interested and/or involved in water issues and research activities. ,"Special Interest, Art"
Association of Women in Computing,"To attract and retain more women and non-binary people in Computer Science, Computer Engineering, and Electrical Engineering majors by providing an environment of female and non-binary peers and a place where anyone can ask questions freely in an open...","Women’s Empowerment, Science, Engineering, Sustainability"
Astronomy Club,"The Penn State Astronomy Club serves as a space for members to learn about various aspects of astronomy, share in stargazing sessions, and so much more! Reach out for more information on how you can join! ",General Student Organizations
Atlas,"Atlas Benefitting THON is an open, innovative, charitable organization at The Pennsylvania State University acting as, and according to, the rules governing a Special Interest Organization of the Penn State IFC/Panhellenic Dance Marathon. Atlas aspir...","Theater, Dance, Special Interest"
Audio Engineering Society,"Disseminates and bolsters educational and scientific knowledge in audio engineering, and promotes the advancement of the science and its allied arts in both theoretical and practical application.

Check out our site here: https://sites.psu.edu/psuaes/","Science, Podcasting, Engineering, Art"
Audiology Club,The purpose of this club shall be: 1. To spread awareness of audiology to community 2. To become familiar with the procedures and proper equipment used in audiology 3. To provide free service for the community,"General Student Organizations, Podcasting, Community, Service"
Automotive Business Club,"The mission of the Automotive Business Club (ABC) is to bring together students who share a passion for the automotive industry, with a focus on the business, leadership, and financial aspects of the industry.","Business, Leadership, General Student Organizations"
Autonomous Robotics Competition Club,The purpose of this club is to compete in autonomous robotic competitions with a focus on using multi-copter aerial vehicles.,General Student Organizations
Aviation Society,"The purpose of the club is to foster a community of aviation enthusiasts within Penn State University. The club aims to promote aviation, facilitate networking, organize trips, and host events.","General Student Organizations, Community, Social Club"
Axis,"Axis aims to set the standard for hard work and persistence in the fight against childhood cancer. With passion and dedication, our mission is to support the Calvanelli family, surpass our fundraising goals, and build lasting relationships. For The Kids!",Fundraising
Ayuda,"AYUDA was created to participate in the Penn State IFC/Panhellenic Dance Marathon, raise funds for Four Diamonds at the Hershey Medical Center and the families it supports, and build community between Penn State students with a shared mission.","Dance, Community, Art"
Baking Club,"The Baking Club at Penn State strives to connect individuals who are interested in all aspects of Baking, whether that's eating food or exploring the culinary arts, and provides them the space to express their passions","Journalism, Food, Art, Special Interest, General Student Organizations"
Bangladesh Cultural Club,The primary purpose of this organization is to promote the culture of Bangladesh. We do that by hosting events and social activities that uphold Bangladeshi traditions and celebrations.,"Social Club, General Student Organizations, Heritage"
Bangladesh Student Association,"To provide a forum of association and service for the Bangledesh community at the Penn State University.To uphold and share the culture of Bangladesh. To foster interculteral exchange, fraternity and harmony with other cultural groups.","Community, Service, Heritage"
Baseball Club,Provides Penn State Students who are competitive baseball players the opportunity to continue playing baseball at a high level at PSU. ,General Student Organizations
Bassoon Club at Penn State,A club that celebrates all things bassoon!,General Student Organizations
Beekeepers Club at Penn State,"The Beekeepers Club exists as a space for beekeeping-enthusiasts and for those simply interested in learning about/sharing the beekeeping hobby. We promote the importance of honeybees through various activities, most importantly managing our own hives. ","General Student Organizations, Special Interest"
Bellisario Alliance for Multicultural Students,"BAMS is an affinity group in the Bellisario College of Communications aiming to create a safe space & community for multicultural students interested in pursuing careers in communications and media.
","Community, Heritage, Special Interest"
Bellisario College of Communications Student Council,"The mission of College of Communications Student Council is to encourage collaboration among the college’s organizations, majors, faculty and staff. We act as the intermediary voice for the College of Communications’ administration and students.",General Student Organizations
Bengali Association of Penn State,"BAPS, a Penn State student organization, promotes Bengali culture, traditions, and festivals. Through cultural events, sports, and cross-cultural interactions, BAPS fosters a vibrant community that celebrates Bengali heritage and encourages inclusivity.","General Student Organizations, Community, Heritage"
Best Buddies,"Best Buddies Penn State Chapter is dedicated to fostering friendships between Penn State students with and without intellectual and/or developmental disabilities. 
","Leadership, Social Club"
Beta Alpha Psi,"Beta Alpha Psi is the international honor organization for Accounting, Finance, and Information Systems students.","Finance, International"
Beta Sigma Beta,Proud local Fraternity,General Student Organizations
Bethune Society,"A service-based student organization focusing on providing our services to help build bridges across racial, religious, and social divides in the PSU and State College communities.","Social Club, General Student Organizations, Service, Religious"
Bhakti Yoga Club,"The Bhakti Yoga Club is an org centered around bringing people together through the practice of meditation, music, and understanding philosophy. Our practices come from an ancient Vedic tradition that we hope to bring to the Penn State community.","Yoga, Community, Heritage, Music, General Student Organizations"
Big Questions,"Big Questions hosts weekly discussions, open to all, on questions chosen by vote. We hope to create a mentally enriching space with a diverse range of perspectives by encouraging members to share their experiences, knowledge, and philosophical ideas.",General Student Organizations
Biobehavioral Health Graduate Student Society,"This group is intended to build community and provide graduate students within the biobehavioral health program a space where they can collaborate and share ideas, network, socialize, and find peer support for graduate school. ","Community, Social Club"
Biobehavioral Health Society,The Biobehavioral Health Society was created to facilitate a positive learning environment in the undergraduate program and to foster communication between faculty and students. Our organization holds regular meetings that focus on recognizing outstandin,Sustainability
Biobehavioral Health Society at World Campus,"BBH Society exists to provide students with a sense of belonging in the biobehavioral health community, promote general knowledge of the influences on health, and inform and empower students considering career options in health-related fields.",Community
Biochemistry Society,"Provides seminars on biochemistry and related areas, and also provides a means of interrelations among biochemistry students with each other and with faculty. This organization is great for networking with people in similar science majors.","Science, Social Club"
"Biochemistry, Microbiology and Molecular Biology Graduate Student Association","For graduate students in Biochemistry, Microbiology, and Molecular Biology Graduate Program. 

The purpose of the BMMB GSA is to provide opportunities for career development, networking and enrichment for students in the BMMB graduate program.","Science, Leadership, Social Club"
Biological Honor Society,The purpose of the Biological Honor Society shall be to function as an honor and professional society for students of the biological sciences.,Science
Biological Sciences Society at Penn State,"The Pennsylvania State University Biological Sciences Society's purpose is to provide an outlet for students to express their interest in biological sciences.
","Science, Journalism, Special Interest"
Biology Graduate Student Association,Our mission is to represent Biology-affiliated graduate students and facilitate engagements among community members via professional development and social events.,"Science, Leadership, Community, Social Club"
"Biomedical Engineering Society Student Chapter at Penn State, Undergraduate Student Association",To build and support the Penn State biomedical engineering community with activities to promote educational and professional development; to encourage collaboration between motivated individuals; and to integrate the persp...,"Leadership, Community, Engineering"
Biotechnology and Pharmaceutical Club ,"The PSU Biotech and Pharmaceutical Club connects industry and students. We are committed to the personal and professional growth of our members. By providing education, skills, and networking opportunities to enhance exposure to the healthcare field.  ","Technology, General Student Organizations, Social Club, Medicine & Health"
Birding Club,"Join the Penn State Bird Club to discover your local birds! From campus to Rothrock State Forest, and beyond! We explore, learn, and conserve our feathered friends. All students and skill levels are welcome, we have binoculars to borrow! 🐦 #BirdingPSU","General Student Organizations, Social Club"
Bits and Bytes for a Fight,"Bits and Bytes for a Fight strives to bring the IST community together to support Penn State’s Dance Marathon (THON) and the Four Diamonds Fund. Through its close partnership among students, alumni, faculty, and staff within the College of IST.","Dance, Community, Art"
Black Emotions Advocate Team,"Our goal as an organization is to create a safe space for students to seek mental health advice, help, and resources from students that look like them and share similar experiences.","Black Student Life, Psychology"
Black Graduate Student Association,"Takes an active role in initiating peer support, professional development, networking, and advocacy on behalf of membership regarding University policy and procedures.","Black Student Life, Leadership, Social Club, Advocacy"
Black Male Leadership Symposium,"The Black Male Leadership Symposium aspires to produce unity and stability among black males, while making an effort to retain and recruit as many of these men it can reach. ","Black Student Life, Leadership"
Black Muslim Initiative ,"Our mission is to build a supportive community for Black Muslims, providing a space for connection, learning, and reflection. We aim to foster an inclusive environment that strengthens our collective identity and support personal and spiritual growth.","Religious, Fitness, Muslim Organizations, Community, Sustainability, Black Student Life"
BLK Elites Dance Company,"Blk Elites was created to provide a space of innovation and service for the Black community through dance. Blk Elites, where talent meets culture. We are black, we are love, and we are beauty, WE ARE BLK Elites. ","Black Student Life, Dance, Service, Community"
Block and Bridle Club,"Promoting a higher scholastic standard, PSU's Block and Bridle is the premier livestock and horse club on campus. Our members come from a variety of backgrounds and majors but have one thing in common - a true advocacy and love for the animal science.","Science, General Student Organizations, Advocacy"
Blooms & Shrooms,"We are Penn State's one and only mushroom club! Focusing on mycology and plant pathology, join us to learn about fungi's role in the natural and manmade world around us. We host a number of events relating to research, the outdoors, and social gatherings","Outdoors, General Student Organizations, Social Club"
Blossom Together,"Blossom Together is established for the expressed purpose of providing water, hunger, and medical relief to developing countries, specifically in Africa. Blossom Together understands school policies and is committed to abiding by said policies.
",Journalism
Blue & White Society,"Blue & White Society is the student chapter of the Alumni Association. BWS serves to provide the ultimate Penn State experience with opportunities such as general member events, professional development workshops, networking, philanthropy, and more!","Leadership, Social Club, Philanthropy"
Blue Band,"The Penn State Blue Band provides resources and opportunities through music education to support student learning, artistic expression and leadership development for student success at Penn State.","Leadership, Music, Journalism, Art"
